taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba	county	unknown
Veratrum_2	281	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.25	0.27	0.0	0.81	0.0	0.78	0.0	0.0	1.0	0.0	0.86	0.75	0.0	0.56	0.0	0.0	0.0	0.33	0.0	0.0	0.7	0.0	0.0	0.9	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.45	0.0	0.0	0.0	0.0	0.5	0.6	0.44	0.0	0.0	0.25	0.0	0.0	0.0	0.0
Veratrum_1	65	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ayenia	117	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	1.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cryptantha	15524	0.81	0.76	0.66	0.79	0.87	0.73	0.86	0.66	0.43	0.61	0.78	0.92	0.39	0.97	0.67	0.82	1.0	0.76	0.83	0.72	0.74	0.77	0.66	0.53	0.81	0.65	0.77	0.54	0.63	0.81	0.88	0.89	0.73	0.0	0.98	0.57	0.59	0.94	0.92	0.63	1.0	0.63	0.81	0.77	0.64	0.0	0.88	0.72	0.59	0.59	0.5	0.82	0.83	0.85	0.86	0.56	0.73	0.79	0.03	0.9	0.8	1.0	0.0	0.21
Maianthemum	1544	0.59	0.79	0.8	0.6	0.94	0.4	0.5	0.83	0.44	0.59	0.46	1.0	0.43	0.0	0.64	0.82	0.0	0.67	0.8	0.62	0.79	0.67	0.54	0.46	0.0	0.72	0.63	0.41	0.0	0.67	0.0	0.89	0.81	0.0	1.0	0.0	0.0	0.87	0.8	0.0	0.0	0.7	0.59	0.69	0.62	0.0	0.87	0.5	0.0	0.34	1.0	0.63	0.0	0.0	0.73	0.51	0.64	0.7	0.0	0.6	0.0	0.0	0.0	0.0
Anemone	946	0.43	0.0	0.47	0.5	0.85	0.0	0.0	0.0	0.41	0.38	0.38	0.0	0.38	0.0	0.52	0.0	0.0	1.0	0.67	0.0	0.43	0.52	0.0	0.48	0.0	0.67	0.3	0.0	1.0	0.25	0.0	0.5	0.37	0.0	0.75	0.0	0.0	0.81	0.62	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.47	0.64	0.5	0.33	0.0	0.7	0.0	0.0	0.53	0.31	0.6	0.63	0.0	0.0	0.0	1.0	0.0	0.0
Cyperus+Lipocarpha	4057	0.66	0.38	0.0	0.58	0.81	0.66	0.74	0.33	0.4	0.56	0.62	0.96	0.17	0.97	0.5	0.5	0.88	0.66	0.91	0.54	0.7	0.61	0.59	0.37	0.38	0.78	0.36	0.43	0.61	0.24	0.8	0.65	0.67	0.0	0.95	0.56	0.0	0.84	0.93	0.42	0.37	0.5	0.51	0.48	0.44	0.0	0.91	0.56	1.0	0.5	0.28	0.59	0.62	0.59	0.91	0.17	0.46	0.52	0.14	0.86	0.59	0.91	0.0	0.0
Arctostaphylos	20524	0.88	0.92	1.0	0.78	1.0	0.79	0.97	0.87	0.97	0.96	0.97	1.0	0.98	1.0	0.87	0.99	0.0	0.94	0.95	0.99	0.74	0.95	0.73	0.91	0.0	0.68	0.93	0.98	1.0	0.97	0.97	0.97	0.91	0.0	0.99	1.0	0.96	0.99	0.75	0.95	0.0	0.48	0.89	0.97	0.85	0.0	0.88	0.82	0.95	0.96	0.95	0.9	0.8	1.0	0.92	0.88	0.66	0.73	0.03	0.82	0.62	1.0	0.0	0.09
Anulocaulis	92	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Centromadia	1296	0.58	0.28	0.0	0.44	0.6	1.0	0.76	0.41	0.0	0.5	0.44	0.71	0.5	0.0	0.0	0.65	0.5	0.5	0.5	0.93	0.33	0.14	0.5	0.39	0.45	1.0	0.0	0.38	0.33	0.25	0.98	0.38	0.0	0.0	0.97	0.57	0.0	0.9	0.84	0.0	0.56	0.27	0.07	0.77	0.27	0.0	1.0	0.14	0.0	0.28	0.72	0.2	0.67	0.64	0.68	0.0	0.58	0.44	0.0	1.0	0.63	0.44	0.0	0.08
Holmgrenanthe	16	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phyllodoce	855	0.87	0.0	1.0	0.13	1.0	0.0	0.0	0.0	0.86	1.0	0.8	0.0	1.0	0.0	0.88	0.0	0.0	0.0	1.0	1.0	0.72	0.0	0.87	0.0	0.0	0.0	0.96	0.0	0.0	0.91	0.0	0.93	1.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	1.0	0.93	0.0	0.0	0.0	0.0	1.0	0.92	0.84	0.83	0.0	0.0	0.0	0.0	0.0	0.18
Typha_1	493	0.73	0.0	0.0	1.0	1.0	0.0	0.67	0.67	0.0	0.6	0.75	0.0	0.11	0.0	0.9	1.0	0.0	0.33	0.71	0.63	0.0	0.8	0.0	0.36	0.5	0.54	0.2	0.64	0.0	1.0	0.95	0.0	0.5	0.0	0.93	0.5	0.0	0.88	0.95	1.0	0.57	0.78	0.67	0.7	0.67	0.0	1.0	0.5	0.0	0.2	1.0	0.6	1.0	1.0	0.75	0.0	1.0	0.5	0.0	0.92	0.0	0.0	0.0	0.0
Typha_2	657	0.79	0.14	0.0	1.0	0.92	1.0	0.83	0.64	0.0	1.0	0.64	1.0	0.0	1.0	0.57	0.75	0.0	0.0	1.0	0.7	0.0	1.0	0.0	0.0	0.83	0.0	0.75	0.21	0.0	0.0	0.78	0.0	0.0	0.0	0.96	0.73	0.0	0.93	0.97	0.5	0.9	0.9	0.54	0.73	0.67	0.0	1.0	0.0	0.0	0.0	0.67	0.14	0.75	0.0	1.0	0.0	0.5	0.0	1.0	0.88	0.54	0.0	0.0	0.0
Petunia	293	0.74	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.83	0.0	0.0	0.0	0.93	0.0	0.0	0.91	0.87	0.0	0.0	0.57	1.0	0.76	0.33	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0
Corallorhiza_2	668	0.51	0.67	0.0	0.0	0.71	0.6	0.0	0.0	0.33	0.31	0.52	0.0	0.36	0.0	0.0	0.0	0.0	0.33	0.67	0.33	0.57	0.5	0.25	0.48	0.0	0.11	0.5	0.33	0.5	0.88	0.0	0.33	0.5	0.0	1.0	0.0	0.0	0.85	0.72	0.0	0.0	0.0	0.57	0.0	0.0	0.0	1.0	0.5	0.5	0.41	0.0	0.71	0.0	0.0	0.88	0.55	0.33	0.75	0.0	0.0	0.0	0.0	0.0	0.0
Corallorhiza_1	148	0.53	0.0	0.0	0.0	0.86	1.0	0.0	0.0	1.0	0.6	0.67	0.0	0.29	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.55	0.47	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	1.0	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.78	0.44	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0
Hesperocyparis_1	250	0.79	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.87	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sibara	114	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sarcobatus	187	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.88	0.84	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
Phacelia_Gymnobytha	738	0.73	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.91	0.0	0.0	0.65	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0
Parietaria	149	0.73	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.79	0.97	0.25	0.0	0.57	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0
Argyrochosma	139	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.39	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.89	0.0	1.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tetracoccus	419	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.97	0.0	0.0	0.94	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
Orobanche_Gymnocaulis	687	0.68	0.67	1.0	1.0	1.0	0.0	0.5	0.67	0.29	1.0	0.56	1.0	0.46	0.0	0.7	0.71	0.0	0.75	1.0	0.72	0.75	0.33	0.69	0.0	1.0	0.71	0.73	0.32	0.67	0.67	0.8	1.0	0.91	0.0	0.95	0.0	0.17	0.89	0.94	0.0	0.0	0.38	0.33	0.74	0.0	0.0	0.5	0.47	1.0	0.14	0.67	0.5	0.75	1.0	0.89	0.3	0.4	0.7	0.0	0.72	1.0	0.5	0.0	0.0
Achyronychia	462	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.79	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67
Cleomella_pro_parte+Oxystylis+Wislizenia	1060	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.55	0.42	0.0	0.0	0.67	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.65	0.77	0.0	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17
Horkelia+Horkeliella+Ivesia	4009	0.75	1.0	0.61	0.82	0.79	0.76	0.91	0.83	0.99	0.51	0.74	1.0	0.4	0.0	0.75	0.52	0.0	0.92	0.86	0.64	0.79	0.91	0.63	0.86	0.0	0.93	0.78	0.77	0.6	0.85	1.0	0.72	0.77	0.0	0.97	0.0	1.0	0.91	0.81	0.64	0.0	0.46	0.54	0.7	0.0	0.0	0.93	0.64	0.78	0.51	0.0	0.75	0.5	0.0	0.75	0.88	0.72	0.69	0.0	0.59	0.0	0.6	0.0	0.15
Lycopus	238	0.75	0.0	0.0	0.0	0.85	0.0	0.0	1.0	0.0	0.67	0.0	1.0	0.88	0.0	0.6	0.7	0.0	0.0	1.0	0.25	0.0	0.0	1.0	0.0	0.67	0.67	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.59	0.0	0.55	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.25	1.0	0.0	1.0	0.67	0.86	0.0	1.0	0.67	0.0	0.0	0.5	0.86	0.0	0.0
Gambelia	101	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Parnassia	505	0.48	0.0	0.13	0.0	1.0	0.0	1.0	0.0	0.31	0.2	0.63	0.0	0.25	0.0	0.55	0.0	0.0	0.67	0.0	0.64	0.78	0.58	0.56	0.22	0.0	0.63	0.38	0.14	0.0	0.43	0.0	0.4	0.59	0.0	0.0	0.0	0.55	0.87	0.0	0.0	0.0	0.4	0.0	1.0	1.0	0.0	1.0	0.67	0.67	0.4	0.0	0.33	0.0	0.0	0.57	0.39	0.55	0.42	0.07	0.0	0.0	0.0	0.0	0.0
Calliscirpus	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sesbania	66	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0
Porophyllum	645	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.83	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.92	0.0	0.0	1.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Samolus	187	0.78	0.0	0.0	0.0	0.88	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.67	0.0	0.0	0.0	0.89	0.8	0.0	0.7	0.92	0.0	1.0	0.6	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anelsonia	87	0.93	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.83	0.0	0.0	0.0	0.0	0.0	0.0
Phacelia_Glandulosae	908	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.84	0.55	0.78	0.0	0.0	0.0	1.0	0.0	0.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.91	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5
Canbya	193	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43
Thamnosma	803	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.84	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.99	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.2
Phacelia_Whitlavia	1749	0.79	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.85	0.0	0.0	0.0	0.96	0.0	0.0	0.73	0.88	0.0	0.0	0.5	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0
Chaenactis	5685	0.75	0.0	0.48	0.0	0.0	0.0	1.0	0.0	0.0	0.69	0.61	0.0	0.0	0.84	0.51	0.66	1.0	0.44	0.53	0.62	0.71	0.0	0.53	1.0	0.7	0.43	0.7	0.35	1.0	0.32	0.82	0.83	0.5	0.0	0.97	0.0	0.14	0.86	0.85	0.0	0.0	0.55	0.0	0.48	0.5	0.0	0.0	0.67	0.57	0.85	1.0	0.0	0.0	0.0	0.5	0.87	0.65	0.73	0.18	0.61	0.0	0.0	0.0	0.19
Cacaliopsis	158	0.39	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.2	0.0	0.0	0.25	0.1	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.45	0.0	0.0	0.0	0.0	0.36	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Callitropsis	41	0.93	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Poteridium	41	0.71	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	1.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Pogogyne	1215	0.59	0.45	0.0	0.45	0.84	0.29	0.83	0.35	0.0	0.6	0.56	1.0	0.09	0.0	0.0	0.36	0.0	0.8	1.0	0.0	0.35	0.0	0.23	0.5	0.5	0.84	0.0	0.84	0.59	0.0	0.0	0.7	0.0	0.0	0.0	0.45	0.36	0.0	0.7	1.0	0.31	0.62	0.41	0.56	0.2	0.0	1.0	0.69	0.0	1.0	0.7	0.61	0.0	0.23	0.83	0.0	0.56	0.0	0.0	0.0	0.62	1.0	0.0	0.0
Blepharizonia+Hemizonia	362	0.55	0.74	0.0	0.0	0.0	0.0	0.0	0.82	0.0	1.0	0.7	0.0	0.4	0.0	0.0	0.78	1.0	0.5	0.0	0.0	0.0	0.31	0.0	0.0	1.0	0.0	0.0	0.44	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.86	0.32	0.75	0.5	0.5	0.0	1.0	0.0	0.0	0.0	1.0	0.5	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stephanomeria	3789	0.68	0.27	0.64	0.46	0.71	0.6	1.0	0.4	0.0	0.54	0.58	0.5	0.37	1.0	0.71	0.79	0.67	0.59	0.64	0.69	0.75	0.23	0.52	0.18	0.43	0.71	0.65	0.32	0.23	0.39	0.76	0.58	0.47	0.0	0.96	0.67	0.17	0.91	0.82	0.67	1.0	0.44	0.31	0.64	0.38	0.0	0.64	0.29	0.48	0.4	0.8	0.6	0.0	0.5	0.6	0.33	0.66	0.47	0.06	0.66	1.0	0.5	0.0	0.0
Goodyera	208	0.51	0.0	0.0	0.0	0.79	1.0	0.0	0.0	0.45	0.75	0.33	0.0	0.63	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.67	0.0	0.3	0.38	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.5	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.26	0.0	0.0	0.0	0.0	0.33	0.67	0.0	0.67	1.0	0.0	0.0	1.0	0.0	0.0
Aconogonon	658	0.47	0.0	0.45	0.5	0.67	0.0	1.0	0.0	0.5	0.65	0.0	0.0	0.62	0.0	0.0	0.0	0.0	1.0	0.2	0.0	0.33	0.0	0.33	0.25	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.71	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.41	0.35	0.0	0.0	0.0	0.0	0.45	0.41	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0
Cressa	557	0.71	0.43	0.0	0.0	1.0	0.0	0.88	0.89	0.0	0.0	0.5	1.0	0.0	0.91	0.29	0.5	0.6	0.0	1.0	0.6	0.0	0.33	0.0	0.0	0.8	0.44	0.0	0.0	1.0	0.0	0.79	0.0	0.0	0.0	0.92	0.0	0.2	0.72	0.88	0.0	1.0	0.62	0.0	0.71	0.75	0.0	1.0	0.0	0.0	0.0	0.75	0.25	1.0	0.14	0.0	0.0	0.25	0.0	0.0	0.74	0.67	0.0	0.0	0.0
Distichlis	1616	0.86	0.69	1.0	0.0	1.0	0.0	1.0	0.8	1.0	1.0	0.64	1.0	1.0	0.77	0.84	1.0	1.0	0.8	0.96	0.99	1.0	0.87	0.0	0.95	0.64	0.93	0.89	0.93	0.89	1.0	1.0	0.8	1.0	0.0	0.92	1.0	0.0	0.98	0.89	0.67	1.0	0.46	0.57	0.82	1.0	0.0	0.9	0.6	0.5	0.83	0.89	0.73	0.31	1.0	1.0	0.67	0.82	1.0	0.0	0.79	0.96	0.0	0.0	0.33
